EPN 1st CTF with ITS     1st CTF with MFT
      good object          good object
001 2022-05-31-08-48-37  2022-05-31-08-48-37
002 2022-05-26-19-19-51  2022-05-26-19-19-51
003 2022-05-26-19-19-51  2022-05-26-19-19-51
004 2022-05-31-08-48-37  2022-05-31-08-48-37
005 2022-05-30-23-56-56  2022-05-30-23-56-56
006 2022-05-30-23-56-56  2022-05-30-23-56-56
007 2022-05-30-23-56-56  2022-05-30-23-56-56
008 2022-05-31-08-48-37  2022-05-31-08-48-37
009 2022-05-31-08-48-37  2022-05-31-08-48-37
010 2022-05-31-08-48-37  2022-05-31-08-48-37
011 2022-05-30-23-56-56  2022-05-30-23-56-56
012 2022-05-31-08-48-37  2022-05-31-08-48-37
013 2022-05-30-23-56-56  2022-05-30-23-56-56
014 2022-05-30-23-56-56  2022-05-30-23-56-56
015 2022-05-31-09-01-27  2022-05-31-09-01-27
016 2022-05-30-23-56-56  2022-05-30-23-56-56
017 2022-05-30-23-56-56  2022-05-30-23-56-56
018 2022-05-31-08-48-37  2022-05-31-08-48-37
019 2022-05-31-08-48-37  2022-05-31-08-48-37
020 2022-05-30-23-56-56  2022-05-30-23-56-56
021 2022-05-30-23-56-56  2022-05-30-23-56-56
023 2022-05-26-16-51-37  2022-05-26-16-51-37
025 2022-05-30-23-56-56  2022-05-30-23-56-56
026 2022-05-31-08-48-38  2022-05-31-08-48-38
027 2022-05-26-19-19-51  2022-05-26-19-19-51
028 2022-05-26-19-19-51  2022-05-26-19-19-51
029 2022-05-30-23-56-56  2022-05-30-23-56-56
030 2022-05-30-23-56-56  2022-05-30-23-56-56
033 2022-05-26-16-51-36  2022-05-26-16-51-36
034 2022-05-30-23-56-56  2022-05-30-23-56-56
035 2022-05-31-14-44-13  2022-05-31-11-45-08
036 2022-05-31-08-48-38  2022-05-31-08-48-38
037 2022-05-26-13-25-21  2022-05-26-13-25-21
038 2022-05-30-23-56-56  2022-05-30-23-56-56
039 2022-05-26-16-51-37  2022-05-26-16-51-37
040 2022-05-26-16-51-36  2022-05-26-16-51-36
041 2022-05-31-08-48-37  2022-05-31-08-48-37
042 2022-05-26-16-51-36  2022-05-26-16-51-36
043 2022-05-30-23-56-56  2022-05-30-23-56-56
044 2022-05-31-08-48-37  2022-05-31-08-48-37
045 2022-05-30-23-56-56  2022-05-30-23-56-56
046 2022-05-30-23-56-56  2022-05-30-23-56-56
047 2022-05-31-09-01-27  2022-05-31-09-01-27
048 2022-05-30-23-56-56  2022-05-30-23-56-56
049 2022-05-30-23-56-56  2022-05-30-23-56-56
050 2022-05-31-13-48-04  2022-05-31-11-02-24
051 2022-05-31-08-48-37  2022-05-31-08-48-37
052 2022-05-26-16-51-36  2022-05-26-16-51-36
054 2022-05-30-23-56-56  2022-05-30-23-56-56
055 2022-05-30-23-56-56  2022-05-30-23-56-56
056 2022-05-31-13-48-05  2022-05-31-11-45-08
057 2022-05-26-16-51-36  2022-05-26-16-51-36
059 2022-05-30-23-56-56  2022-05-30-23-56-56
060 2022-05-30-23-56-56  2022-05-30-23-56-56
061 2022-05-30-23-56-56  2022-05-30-23-56-56
062 2022-05-31-13-48-04  2022-05-31-11-45-08
064 2022-05-31-13-48-04  2022-05-31-11-02-24
066 2022-05-31-13-48-04  2022-05-31-11-45-08
067 2022-06-01-14-07-50  2022-05-31-11-45-08
068 2022-05-31-13-48-05  2022-05-31-13-48-05
069 2022-05-31-13-48-04  2022-05-31-11-45-08
070 2022-05-31-13-48-04  2022-05-31-11-45-08
071 2022-05-31-13-48-05  2022-05-31-11-45-08
072 2022-05-31-13-48-04  2022-05-31-13-48-04
074 2022-05-31-13-48-05  2022-05-31-13-48-05
075 2022-05-31-18-16-29  2022-05-31-18-16-29
076 2022-05-31-13-48-05  2022-05-31-13-48-05
077 2022-05-31-14-44-14  2022-05-31-11-45-08
078 2022-05-31-13-48-04  2022-05-31-11-45-08
079 2022-05-31-15-55-33  2022-05-31-15-55-33
081 2022-05-26-19-19-51  2022-05-26-19-19-51
082 2022-05-31-13-48-04  2022-05-31-11-02-24
083 2022-05-31-13-48-05  2022-05-31-13-48-05
084 2022-05-31-13-48-04  2022-05-31-11-45-08
085 2022-05-31-13-48-05  2022-05-31-11-45-08
086 2022-05-31-13-48-05  2022-05-31-11-02-24
087 2022-05-31-13-48-04  2022-05-31-11-45-08
088 2022-05-31-13-48-04  2022-05-31-11-45-08
090 2022-05-31-13-48-05  2022-05-31-13-48-05
091 2022-05-31-13-48-05  2022-05-31-11-45-08
092 2022-05-31-18-16-30  2022-05-31-18-16-30
093 2022-05-31-13-48-05  2022-05-31-11-45-08
094 2022-05-31-13-48-04  2022-05-31-11-45-08
096 2022-05-31-13-48-04  2022-05-31-11-02-24
097 2022-05-31-13-48-04  2022-05-31-11-02-24
098 2022-05-26-19-19-51  2022-05-26-19-19-51
099 2022-06-01-14-07-51  2022-05-31-11-45-08
101 2022-05-31-13-48-05  2022-05-31-11-45-08
102 2022-05-31-13-48-04  2022-05-31-11-45-08
103 2022-05-31-13-48-04  2022-05-31-11-45-08
104 2022-05-31-13-48-04  2022-05-31-13-48-04
107 2022-05-31-18-16-30  2022-05-31-18-16-30
108 2022-05-31-13-48-05  2022-05-31-13-48-05
109 2022-05-31-14-44-13  2022-05-31-11-45-08
110 2022-05-31-13-48-05  2022-05-31-11-45-08
111 2022-05-31-15-55-33  2022-05-31-15-55-33
112 2022-05-31-13-48-05  2022-05-31-11-45-08
113 2022-05-31-14-44-13  2022-05-31-11-45-08
114 2022-05-26-16-51-36  2022-05-26-16-51-36
115 2022-05-29-09-10-30  2022-05-28-08-30-29
116 2022-05-31-13-48-05  2022-05-31-11-45-08
117 2022-05-26-16-51-36  2022-05-26-16-51-36
118 2022-05-31-13-48-04  2022-05-31-11-02-24
119 2022-05-31-13-48-04  2022-05-31-11-45-08
120 2022-05-31-13-48-05  2022-05-31-11-45-08
121 2022-05-31-13-48-04  2022-05-31-11-45-08
122 2022-05-28-08-31-26  2022-05-28-08-48-41
123 2022-05-26-19-19-51  2022-05-26-19-19-51
124 2022-05-26-19-19-51  2022-05-26-19-19-51
125 2022-05-26-19-19-51  2022-05-26-19-19-51
126 2022-05-31-13-48-04  2022-05-31-11-45-08
129 2022-05-31-18-16-29  2022-05-31-18-16-29
130 2022-05-31-18-16-29  2022-05-31-18-16-29
131 2022-05-26-13-25-21  2022-05-26-13-25-21
132 2022-05-28-08-31-26  2022-05-28-08-48-41
133 2022-05-31-18-16-30  2022-05-31-18-16-30
135 2022-05-31-18-16-29  2022-05-31-18-16-29
136 2022-05-31-18-16-30  2022-05-31-18-16-30
137 2022-05-31-18-16-29  2022-05-31-18-16-29
138 2022-05-31-18-16-29  2022-05-31-18-16-29
139 2022-05-26-13-25-21  2022-05-26-13-25-21
140 2022-05-31-18-16-29  2022-05-31-18-16-29
141 2022-05-31-18-16-30  2022-05-31-18-16-30
142 2022-05-31-18-16-30  2022-05-31-18-16-30
143 2022-06-01-14-07-50  2022-06-01-14-07-50
144 2022-05-31-18-16-30  2022-05-31-18-16-30
146 2022-05-31-18-16-30  2022-05-31-18-16-30
147 2022-05-28-08-31-26  2022-05-28-08-48-41
148 2022-05-31-18-16-30  2022-05-31-18-16-30
150 2022-05-31-18-16-30  2022-05-31-18-16-30
151 2022-05-31-18-16-30  2022-05-31-18-16-30
152 2022-06-01-09-14-45  2022-06-01-09-14-45
153 2022-05-31-18-16-30  2022-05-31-18-16-30
154 2022-05-31-18-16-29  2022-05-31-18-16-29
155 2022-05-26-13-25-21  2022-05-26-13-25-21
157 2022-05-31-18-16-29  2022-05-31-18-16-29
158 2022-05-26-13-25-21  2022-05-26-13-25-21
160 2022-05-31-18-16-30  2022-05-31-18-16-30
161 2022-05-31-18-16-29  2022-05-31-18-16-29
162 2022-05-31-18-16-29  2022-05-31-18-16-29
163 2022-06-01-09-14-44  2022-06-01-13-42-13
164 2022-05-31-18-16-30  2022-05-31-18-16-30
165 2022-05-26-13-25-21  2022-05-26-13-25-21
166 2022-05-31-18-16-30  2022-05-31-18-16-30
167 2022-05-31-18-16-30  2022-05-31-18-16-30
168 2022-05-31-18-16-30  2022-05-31-18-16-30
169 2022-05-28-08-31-26  2022-05-28-08-48-41
170 2022-05-26-13-25-21  2022-05-26-13-25-21
171 2022-05-31-18-16-29  2022-05-31-18-16-29
172 2022-05-26-14-08-32  2022-05-26-14-08-32
173 2022-06-01-09-14-45  2022-06-01-13-42-14
174 2022-05-31-18-16-30  2022-05-31-18-16-30
175 2022-06-01-14-07-50  2022-06-01-14-07-50
176 2022-05-26-13-25-21  2022-05-26-13-25-21
177 2022-05-31-18-16-29  2022-05-31-18-16-29
178 2022-05-31-18-16-30  2022-05-31-18-16-30
179 2022-05-31-18-16-30  2022-05-31-18-16-30
180 2022-05-31-18-16-29  2022-05-31-18-16-29
181 2022-05-31-18-16-30  2022-05-31-18-16-30
